loan_id,gender,ageGroup,effortRate,savingsRate,distCrime,expenses,account_id,date,amount,duration,payments,status
6940,female,adult,42.67,-18.41,15.34,11254,9510,1996-11-22,228276,36,6341,1
5209,female,adult,16.67,-11.16,3.86,21575,1250,1996-11-25,182640,48,3805,1
5388,male,adult,16.67,-7.78,5.42,28040,2153,1996-11-28,61560,12,5130,1
6011,male,adult,16.03,-18.19,9.65,23810,4981,1996-11-28,179328,48,3736,1
5591,female,adult,16.67,-8.5,8.82,17863,3021,1996-12-04,155616,48,3242,1
7154,male,adult,79.61,-75.85,4.81,8415,10520,1996-12-05,417600,60,6960,1
7130,male,adult,49.22,-84.71,8.08,14153,10411,1996-12-11,123408,24,5142,1
6818,male,adult,18.43,-19.38,8.35,17759,9030,1996-12-12,155616,48,3242,1
5625,male,adult,41.87,-205.7,3.73,23330,3189,1996-12-15,222180,60,3703,-1
6805,female,adult,9.22,-95.23,7.0,18931,8972,1996-12-21,45024,48,938,1
7233,male,adult,38.17,-377.89,4.03,37055,10963,1996-12-25,115812,36,3217,1
7308,female,adult,66.49,-185.91,5.96,17795,11362,1996-12-27,129408,24,5392,1
